0.005,127.6
0.01,104.9
0.015,105.7
0.02,106.3
0.025,105.2
0.03,103.2
0.035,104.5
0.04,105.0
0.045,106.0
0.05,106.0
0.055,105.2
0.06,106.7
0.065,105.3
0.07,104.8
0.075,104.3
0.08,105.2
0.085,106.1
0.09,105.3
0.095,104.4
0.1,102.9
0.105,102.7
0.11,102.0
0.115,104.4
0.12,103.7
0.125,102.9
0.13,102.7
0.135,103.4
0.14,102.5
0.145,102.3
0.15,104.7
0.155,102.7
0.16,102.7
0.165,102.1
0.17,103.3
0.175,103.2
0.18,102.9
0.185,103.5
0.19,103.4
0.195,103.7
0.2,103.2
0.205,103.2
0.21,103.4
0.215,101.8
0.22,102.4
0.225,102.7
0.23,103.3
0.235,103.2
0.24,101.8
0.245,105.4
0.25,103.8
